# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,product,feed_category,multiplier
AUT,meat-sheep,ruminant_grain,1.0
AUT,meat-sheep,ruminant_protein,1.0
AUT,meat-sheep,ruminant_roughage,1.0
AZE,dairy,ruminant_forage,2.0
AZE,dairy,ruminant_grain,1.0
AZE,dairy,ruminant_protein,1.0
AZE,dairy,ruminant_roughage,1.0
AZE,dairy-buffalo,ruminant_forage,2.0
AZE,dairy-buffalo,ruminant_grain,1.0
AZE,dairy-buffalo,ruminant_protein,1.0
AZE,dairy-buffalo,ruminant_roughage,1.0
AZE,eggs,monogastric_grain,1.0
AZE,eggs,monogastric_low_quality,1.0
AZE,eggs,monogastric_protein,1.0
AZE,meat-cattle,ruminant_forage,2.0
AZE,meat-cattle,ruminant_grain,1.0
AZE,meat-cattle,ruminant_protein,1.0
AZE,meat-cattle,ruminant_roughage,1.0
AZE,meat-chicken,monogastric_grain,1.0
AZE,meat-chicken,monogastric_low_quality,1.0
AZE,meat-chicken,monogastric_protein,1.0
AZE,meat-pig,monogastric_grain,1.0
AZE,meat-pig,monogastric_low_quality,1.0
AZE,meat-pig,monogastric_protein,1.0
AZE,meat-sheep,ruminant_forage,2.0
AZE,meat-sheep,ruminant_grain,1.0
AZE,meat-sheep,ruminant_protein,1.0
AZE,meat-sheep,ruminant_roughage,1.0
BDI,dairy,ruminant_forage,1.0
BDI,dairy,ruminant_grain,1.0
BDI,dairy,ruminant_protein,1.0
BDI,dairy,ruminant_roughage,1.0
BDI,dairy-buffalo,ruminant_forage,1.0
BDI,dairy-buffalo,ruminant_grain,1.0
BDI,dairy-buffalo,ruminant_protein,1.0
BDI,dairy-buffalo,ruminant_roughage,1.0
BDI,eggs,monogastric_grain,1.0
BDI,eggs,monogastric_low_quality,1.0
BDI,eggs,monogastric_protein,1.0
BDI,meat-cattle,ruminant_forage,1.0
BDI,meat-cattle,ruminant_grain,1.0
BDI,meat-cattle,ruminant_protein,1.0
BDI,meat-cattle,ruminant_roughage,1.0
BDI,meat-chicken,monogastric_grain,1.0
BDI,meat-chicken,monogastric_low_quality,1.0
BDI,meat-chicken,monogastric_protein,1.0
BDI,meat-pig,monogastric_grain,1.0
BDI,meat-pig,monogastric_low_quality,1.0
BDI,meat-pig,monogastric_protein,1.0
BDI,meat-sheep,ruminant_forage,1.0
BDI,meat-sheep,ruminant_grain,1.0
BDI,meat-sheep,ruminant_protein,1.0
BDI,meat-sheep,ruminant_roughage,1.0
BEL,dairy,ruminant_forage,1.7109485418403092
BEL,dairy,ruminant_grain,1.0
BEL,dairy,ruminant_protein,1.0
BEL,dairy,ruminant_roughage,1.0
BEL,dairy-buffalo,ruminant_forage,1.7109485418403092
BEL,dairy-buffalo,ruminant_grain,1.0
BEL,dairy-buffalo,ruminant_protein,1.0
BEL,dairy-buffalo,ruminant_roughage,1.0
BEL,eggs,monogastric_grain,1.0
BEL,eggs,monogastric_low_quality,1.0
BEL,eggs,monogastric_protein,1.0
BEL,meat-cattle,ruminant_forage,1.7109485418403092
BEL,meat-cattle,ruminant_grain,1.0
BEL,meat-cattle,ruminant_protein,1.0
BEL,meat-cattle,ruminant_roughage,1.0
BEL,meat-chicken,monogastric_grain,1.0
BEL,meat-chicken,monogastric_low_quality,1.0
BEL,meat-chicken,monogastric_protein,1.0
BEL,meat-pig,monogastric_grain,1.0
BEL,meat-pig,monogastric_low_quality,1.0
BEL,meat-pig,monogastric_protein,1.0
BEL,meat-sheep,ruminant_forage,1.7109485418403092
BEL,meat-sheep,ruminant_grain,1.0
BEL,meat-sheep,ruminant_protein,1.0
BEL,meat-sheep,ruminant_roughage,1.0
BEN,dairy,ruminant_forage,1.2963130619912395
BEN,dairy,ruminant_grain,1.0
BEN,dairy,ruminant_protein,1.0
BEN,dairy,ruminant_roughage,1.0
BEN,dairy-buffalo,ruminant_forage,1.2963130619912395
BEN,dairy-buffalo,ruminant_grain,1.0
BEN,dairy-buffalo,ruminant_protein,1.0
BEN,dairy-buffalo,ruminant_roughage,1.0
BEN,eggs,monogastric_grain,1.0
BEN,eggs,monogastric_low_quality,1.0
BEN,eggs,monogastric_protein,1.0
BEN,meat-cattle,ruminant_forage,1.2963130619912395
BEN,meat-cattle,ruminant_grain,1.0
BEN,meat-cattle,ruminant_protein,1.0
BEN,meat-cattle,ruminant_roughage,1.0
BEN,meat-chicken,monogastric_grain,1.0
BEN,meat-chicken,monogastric_low_quality,1.0
BEN,meat-chicken,monogastric_protein,1.0
BEN,meat-pig,monogastric_grain,1.0
BEN,meat-pig,monogastric_low_quality,1.0
BEN,meat-pig,monogastric_protein,1.0
BEN,meat-sheep,ruminant_forage,1.2963130619912395
BEN,meat-sheep,ruminant_grain,1.0
BEN,meat-sheep,ruminant_protein,1.0
BEN,meat-sheep,ruminant_roughage,1.0
BFA,dairy,ruminant_forage,1.0
BFA,dairy,ruminant_grain,1.0
BFA,dairy,ruminant_protein,1.0
BFA,dairy,ruminant_roughage,1.0
BFA,dairy-buffalo,ruminant_forage,1.0
BFA,dairy-buffalo,ruminant_grain,1.0
BFA,dairy-buffalo,ruminant_protein,1.0
BFA,dairy-buffalo,ruminant_roughage,1.0
BFA,eggs,monogastric_grain,1.0
BFA,eggs,monogastric_low_quality,1.0
BFA,eggs,monogastric_protein,1.0
BFA,meat-cattle,ruminant_forage,1.0
BFA,meat-cattle,ruminant_grain,1.0
BFA,meat-cattle,ruminant_protein,1.0
BFA,meat-cattle,ruminant_roughage,1.0
BFA,meat-chicken,monogastric_grain,1.0
BFA,meat-chicken,monogastric_low_quality,1.0
BFA,meat-chicken,monogastric_protein,1.0
BFA,meat-pig,monogastric_grain,1.0
BFA,meat-pig,monogastric_low_quality,1.0
BFA,meat-pig,monogastric_protein,1.0
BFA,meat-sheep,ruminant_forage,1.0
BFA,meat-sheep,ruminant_grain,1.0
BFA,meat-sheep,ruminant_protein,1.0
BFA,meat-sheep,ruminant_roughage,1.0
BGD,dairy,ruminant_forage,2.0
BGD,dairy,ruminant_grain,1.0
BGD,dairy,ruminant_protein,1.0
BGD,dairy,ruminant_roughage,1.3227206077264333
BGD,dairy-buffalo,ruminant_forage,2.0
BGD,dairy-buffalo,ruminant_grain,1.0
BGD,dairy-buffalo,ruminant_protein,1.0
BGD,dairy-buffalo,ruminant_roughage,1.3227206077264333
BGD,eggs,monogastric_grain,1.0
BGD,eggs,monogastric_low_quality,1.0
BGD,eggs,monogastric_protein,1.0
BGD,meat-cattle,ruminant_forage,2.0
BGD,meat-cattle,ruminant_grain,1.0
BGD,meat-cattle,ruminant_protein,1.0
BGD,meat-cattle,ruminant_roughage,1.3227206077264333
BGD,meat-chicken,monogastric_grain,1.0
BGD,meat-chicken,monogastric_low_quality,1.0
BGD,meat-chicken,monogastric_protein,1.0
BGD,meat-pig,monogastric_grain,1.0
BGD,meat-pig,monogastric_low_quality,1.0
BGD,meat-pig,monogastric_protein,1.0
BGD,meat-sheep,ruminant_forage,2.0
BGD,meat-sheep,ruminant_grain,1.0
BGD,meat-sheep,ruminant_protein,1.0
BGD,meat-sheep,ruminant_roughage,1.3227206077264333
BGR,dairy,ruminant_forage,2.0
BGR,dairy,ruminant_grain,1.0
BGR,dairy,ruminant_protein,1.0
BGR,dairy,ruminant_roughage,1.0
BGR,dairy-buffalo,ruminant_forage,2.0
BGR,dairy-buffalo,ruminant_grain,1.0
BGR,dairy-buffalo,ruminant_protein,1.0
BGR,dairy-buffalo,ruminant_roughage,1.0
BGR,eggs,monogastric_grain,1.0
BGR,eggs,monogastric_low_quality,1.0
BGR,eggs,monogastric_protein,1.0
BGR,meat-cattle,ruminant_forage,2.0
BGR,meat-cattle,ruminant_grain,1.0
BGR,meat-cattle,ruminant_protein,1.0
BGR,meat-cattle,ruminant_roughage,1.0
BGR,meat-chicken,monogastric_grain,1.0
BGR,meat-chicken,monogastric_low_quality,1.0
BGR,meat-chicken,monogastric_protein,1.0
BGR,meat-pig,monogastric_grain,1.0
BGR,meat-pig,monogastric_low_quality,1.0
BGR,meat-pig,monogastric_protein,1.0
BGR,meat-sheep,ruminant_forage,2.0
BGR,meat-sheep,ruminant_grain,1.0
BGR,meat-sheep,ruminant_protein,1.0
BGR,meat-sheep,ruminant_roughage,1.0
BHS,dairy,ruminant_forage,2.0
BHS,dairy,ruminant_grain,1.0
BHS,dairy,ruminant_protein,1.0
BHS,dairy,ruminant_roughage,1.0
BHS,dairy-buffalo,ruminant_forage,2.0
BHS,dairy-buffalo,ruminant_grain,1.0
BHS,dairy-buffalo,ruminant_protein,1.0
BHS,dairy-buffalo,ruminant_roughage,1.0
BHS,eggs,monogastric_grain,1.0
BHS,eggs,monogastric_low_quality,1.0
BHS,eggs,monogastric_protein,1.0
BHS,meat-cattle,ruminant_forage,2.0
BHS,meat-cattle,ruminant_grain,1.0
BHS,meat-cattle,ruminant_protein,1.0
BHS,meat-cattle,ruminant_roughage,1.0
BHS,meat-chicken,monogastric_grain,1.0
BHS,meat-chicken,monogastric_low_quality,1.0
BHS,meat-chicken,monogastric_protein,1.0
BHS,meat-pig,monogastric_grain,1.0
BHS,meat-pig,monogastric_low_quality,1.0
BHS,meat-pig,monogastric_protein,1.0
BHS,meat-sheep,ruminant_forage,2.0
BHS,meat-sheep,ruminant_grain,1.0
BHS,meat-sheep,ruminant_protein,1.0
BHS,meat-sheep,ruminant_roughage,1.0
BIH,dairy,ruminant_forage,2.0
BIH,dairy,ruminant_grain,1.0
BIH,dairy,ruminant_protein,1.0
BIH,dairy,ruminant_roughage,1.0
BIH,dairy-buffalo,ruminant_forage,2.0
BIH,dairy-buffalo,ruminant_grain,1.0
BIH,dairy-buffalo,ruminant_protein,1.0
BIH,dairy-buffalo,ruminant_roughage,1.0
BIH,eggs,monogastric_grain,1.0
BIH,eggs,monogastric_low_quality,1.0
BIH,eggs,monogastric_protein,1.0
BIH,meat-cattle,ruminant_forage,2.0
BIH,meat-cattle,ruminant_grain,1.0
BIH,meat-cattle,ruminant_protein,1.0
BIH,meat-cattle,ruminant_roughage,1.0
BIH,meat-chicken,monogastric_grain,1.0
BIH,meat-chicken,monogastric_low_quality,1.0
BIH,meat-chicken,monogastric_protein,1.0
BIH,meat-pig,monogastric_grain,1.0
BIH,meat-pig,monogastric_low_quality,1.0
BIH,meat-pig,monogastric_protein,1.0
BIH,meat-sheep,ruminant_forage,2.0
BIH,meat-sheep,ruminant_grain,1.0
BIH,meat-sheep,ruminant_protein,1.0
BIH,meat-sheep,ruminant_roughage,1.0
BLR,dairy,ruminant_forage,2.0
BLR,dairy,ruminant_grain,1.0
BLR,dairy,ruminant_protein,1.0
BLR,dairy,ruminant_roughage,1.0
BLR,dairy-buffalo,ruminant_forage,2.0
BLR,dairy-buffalo,ruminant_grain,1.0
BLR,dairy-buffalo,ruminant_protein,1.0
BLR,dairy-buffalo,ruminant_roughage,1.0
BLR,eggs,monogastric_grain,1.0
BLR,eggs,monogastric_low_quality,1.0
BLR,eggs,monogastric_protein,1.0
BLR,meat-cattle,ruminant_forage,2.0
BLR,meat-cattle,ruminant_grain,1.0
BLR,meat-cattle,ruminant_protein,1.0
BLR,meat-cattle,ruminant_roughage,1.0
BLR,meat-chicken,monogastric_grain,1.0
BLR,meat-chicken,monogastric_low_quality,1.0
BLR,meat-chicken,monogastric_protein,1.0
BLR,meat-pig,monogastric_grain,1.0
BLR,meat-pig,monogastric_low_quality,1.0
BLR,meat-pig,monogastric_protein,1.0
BLR,meat-sheep,ruminant_forage,2.0
BLR,meat-sheep,ruminant_grain,1.0
BLR,meat-sheep,ruminant_protein,1.0
BLR,meat-sheep,ruminant_roughage,1.0
BLZ,dairy,ruminant_forage,1.3193996000202353
BLZ,dairy,ruminant_grain,1.0
BLZ,dairy,ruminant_protein,1.0
BLZ,dairy,ruminant_roughage,1.0
BLZ,dairy-buffalo,ruminant_forage,1.3193996000202353
BLZ,dairy-buffalo,ruminant_grain,1.0
BLZ,dairy-buffalo,ruminant_protein,1.0
