# GLEAM 3.0 country-level animal production data (reference year 2015).
# Source: FAO Global Livestock Environmental Assessment Model (GLEAM) version 3.0.
# Obtained directly from FAO upon request.
#
# SPDX-FileCopyrightText: FAO 2022
# SPDX-License-Identifier: CC-BY-4.0
ISO3,COUNTRY,VarName,Animal,LPS,Item,Element,Total,Unit
ARG,Argentina,Production,Cattle,Grassland,Meat,LiveWeight,1017522720,kg/year
ARG,Argentina,Production,Cattle,Grassland,Milk,Weight,3867932771,kg/year
ARG,Argentina,Production,Cattle,Mixed,Milk,Weight,8192698972,kg/year
ARG,Argentina,Production,Chicken,Backyard,Eggs,Weight,2596599.134,kg/year
ARG,Argentina,Production,Chicken,Backyard,Meat,CarcassWeight,513272.9723,kg/year
ARG,Argentina,Production,Chicken,Backyard,Meat,LiveWeight,780175.4219,kg/year
ARG,Argentina,Production,Chicken,Broiler,Meat,CarcassWeight,886300579.6,kg/year
ARG,Argentina,Production,Chicken,Broiler,Meat,LiveWeight,1214110353,kg/year
ARG,Argentina,Production,Chicken,Layer,Eggs,Weight,343072227.1,kg/year
ARG,Argentina,Production,Chicken,Layer,Meat,CarcassWeight,42766878.72,kg/year
ARG,Argentina,Production,Chicken,Layer,Meat,LiveWeight,77757959.58,kg/year
ARG,Argentina,Production,Goats,Grassland,Meat,CarcassWeight,30825852.41,kg/year
ARG,Argentina,Production,Goats,Grassland,Meat,LiveWeight,67749126.14,kg/year
ARG,Argentina,Production,Goats,Mixed,Meat,CarcassWeight,3429615.529,kg/year
ARG,Argentina,Production,Goats,Mixed,Meat,LiveWeight,7537616.55,kg/year
ARG,Argentina,Production,Goats,Grassland,Milk,Weight,0,kg/year
ARG,Argentina,Production,Goats,Mixed,Milk,Weight,0,kg/year
ARG,Argentina,Production,Pigs,Backyard,Meat,CarcassWeight,171276754.7,kg/year
ARG,Argentina,Production,Pigs,Backyard,Meat,LiveWeight,263502709.8,kg/year
ARG,Argentina,Production,Pigs,Industrial,Meat,CarcassWeight,361149331.2,kg/year
ARG,Argentina,Production,Pigs,Industrial,Meat,LiveWeight,481532441.9,kg/year
ARG,Argentina,Production,Pigs,Intermediate,Meat,CarcassWeight,89220223.23,kg/year
ARG,Argentina,Production,Pigs,Intermediate,Meat,LiveWeight,118960297.7,kg/year
ARG,Argentina,Production,Sheep,Grassland,Meat,CarcassWeight,93974706.43,kg/year
ARG,Argentina,Production,Sheep,Grassland,Meat,LiveWeight,181418354.7,kg/year
ARG,Argentina,Production,Sheep,Mixed,Meat,CarcassWeight,24760316.16,kg/year
ARG,Argentina,Production,Sheep,Mixed,Meat,LiveWeight,47799838.88,kg/year
ARG,Argentina,Production,Sheep,Grassland,Milk,Weight,0,kg/year
ARG,Argentina,Production,Sheep,Mixed,Milk,Weight,0,kg/year
ARM,Armenia,Production,Buffalo,Grassland,Meat,CarcassWeight,5889.191185,kg/year
ARM,Armenia,Production,Buffalo,Grassland,Meat,LiveWeight,11174.84152,kg/year
ARM,Armenia,Production,Buffalo,Mixed,Meat,CarcassWeight,28124.15952,kg/year
ARM,Armenia,Production,Buffalo,Mixed,Meat,LiveWeight,53366.07688,kg/year
ARM,Armenia,Production,Buffalo,Grassland,Milk,Weight,0,kg/year
ARM,Armenia,Production,Buffalo,Mixed,Milk,Weight,0,kg/year
ARM,Armenia,Production,Cattle,Grassland,Meat,CarcassWeight,5257711.125,kg/year
ARM,Armenia,Production,Cattle,Grassland,Meat,LiveWeight,9826837.68,kg/year
ARM,Armenia,Production,Cattle,Mixed,Meat,CarcassWeight,45102049.92,kg/year
ARM,Armenia,Production,Cattle,Mixed,Meat,LiveWeight,84297237.54,kg/year
ARM,Armenia,Production,Cattle,Grassland,Milk,Weight,69303561.88,kg/year
ARM,Armenia,Production,Cattle,Mixed,Milk,Weight,594504446.6,kg/year
ARM,Armenia,Production,Chicken,Backyard,Eggs,Weight,1181095.6,kg/year
ARM,Armenia,Production,Chicken,Backyard,Meat,CarcassWeight,144612.974,kg/year
ARM,Armenia,Production,Chicken,Backyard,Meat,LiveWeight,219668.5337,kg/year
ARM,Armenia,Production,Chicken,Broiler,Meat,CarcassWeight,5127807.869,kg/year
ARM,Armenia,Production,Chicken,Broiler,Meat,LiveWeight,7888935.463,kg/year
ARM,Armenia,Production,Chicken,Layer,Eggs,Weight,29612202.28,kg/year
ARM,Armenia,Production,Chicken,Layer,Meat,CarcassWeight,3608531.643,kg/year
ARM,Armenia,Production,Chicken,Layer,Meat,LiveWeight,6560966.463,kg/year
ARM,Armenia,Production,Goats,Grassland,Meat,CarcassWeight,28872.30832,kg/year
ARM,Armenia,Production,Goats,Grassland,Meat,LiveWeight,64449.35628,kg/year
ARM,Armenia,Production,Goats,Mixed,Meat,CarcassWeight,111387.4171,kg/year
ARM,Armenia,Production,Goats,Mixed,Meat,LiveWeight,248641.2693,kg/year
ARM,Armenia,Production,Goats,Grassland,Milk,Weight,967640.0024,kg/year
ARM,Armenia,Production,Goats,Mixed,Milk,Weight,3733090.876,kg/year
ARM,Armenia,Production,Pigs,Backyard,Meat,CarcassWeight,2640173.993,kg/year
ARM,Armenia,Production,Pigs,Backyard,Meat,LiveWeight,4061806.269,kg/year
ARM,Armenia,Production,Pigs,Industrial,Meat,CarcassWeight,9146936.459,kg/year
ARM,Armenia,Production,Pigs,Industrial,Meat,LiveWeight,12195915.26,kg/year
ARM,Armenia,Production,Pigs,Intermediate,Meat,CarcassWeight,5662839.948,kg/year
ARM,Armenia,Production,Pigs,Intermediate,Meat,LiveWeight,7550453.269,kg/year
ARM,Armenia,Production,Sheep,Grassland,Meat,CarcassWeight,306531.3336,kg/year
ARM,Armenia,Production,Sheep,Grassland,Meat,LiveWeight,642623.3312,kg/year
ARM,Armenia,Production,Sheep,Mixed,Meat,CarcassWeight,2531737.227,kg/year
ARM,Armenia,Production,Sheep,Mixed,Meat,LiveWeight,5307625.116,kg/year
ARM,Armenia,Production,Sheep,Grassland,Milk,Weight,6530097.081,kg/year
ARM,Armenia,Production,Sheep,Mixed,Milk,Weight,53584625.9,kg/year
ABW,Aruba,Production,Chicken,Backyard,Eggs,Weight,59464.21484,kg/year
ABW,Aruba,Production,Chicken,Backyard,Meat,CarcassWeight,11754.36597,kg/year
ABW,Aruba,Production,Chicken,Backyard,Meat,LiveWeight,17866.64746,kg/year
AUS,Australia,Production,Buffalo,Grassland,Meat,CarcassWeight,263951.2448,kg/year
AUS,Australia,Production,Buffalo,Grassland,Meat,LiveWeight,487843.4182,kg/year
AUS,Australia,Production,Buffalo,Mixed,Meat,CarcassWeight,36226.65226,kg/year
AUS,Australia,Production,Buffalo,Mixed,Meat,LiveWeight,66955.29669,kg/year
AUS,Australia,Production,Buffalo,Grassland,Milk,Weight,0,kg/year
AUS,Australia,Production,Buffalo,Mixed,Milk,Weight,0,kg/year
AUS,Australia,Production,Cattle,Mixed,Meat,CarcassWeight,1336965737,kg/year
AUS,Australia,Production,Cattle,Mixed,Meat,LiveWeight,2465099099,kg/year
AUS,Australia,Production,Cattle,Grassland,Meat,CarcassWeight,842449250.3,kg/year
AUS,Australia,Production,Cattle,Grassland,Meat,LiveWeight,1605092236,kg/year
AUS,Australia,Production,Cattle,Grassland,Milk,Weight,6463542490,kg/year
AUS,Australia,Production,Cattle,Mixed,Milk,Weight,3017613414,kg/year
AUS,Australia,Production,Chicken,Broiler,Meat,CarcassWeight,800390409.5,kg/year
AUS,Australia,Production,Chicken,Broiler,Meat,LiveWeight,1159986104,kg/year
AUS,Australia,Production,Chicken,Layer,Eggs,Weight,165217415,kg/year
AUS,Australia,Production,Chicken,Layer,Meat,CarcassWeight,8349534.642,kg/year
AUS,Australia,Production,Chicken,Layer,Meat,LiveWeight,15180971.73,kg/year
AUS,Australia,Production,Goats,Grassland,Meat,CarcassWeight,32913553.51,kg/year
AUS,Australia,Production,Goats,Grassland,Meat,LiveWeight,73141229.83,kg/year
AUS,Australia,Production,Goats,Mixed,Meat,CarcassWeight,9786599.02,kg/year
AUS,Australia,Production,Goats,Mixed,Meat,LiveWeight,21747997.86,kg/year
AUS,Australia,Production,Goats,Grassland,Milk,Weight,0,kg/year
AUS,Australia,Production,Goats,Mixed,Milk,Weight,0,kg/year
